City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pont rouge,48.8833,-72.0825,5.06,77,7,1.85,CA,1682644927
1,shwebo,22.5667,95.7,32.28,27,1,1.49,MM,1682644927
2,kodiak,57.79,-152.4072,5.73,70,100,2.06,US,1682644927
3,port-aux-francais,-49.35,70.2167,5.46,67,96,11.6,TF,1682644927
4,ilulissat,69.2167,-51.1,-1.99,86,15,0.51,GL,1682644928
5,grytviken,-54.2811,-36.5092,1.35,82,17,3.62,GS,1682644928
6,crane,31.3974,-102.3501,23.84,19,0,2.67,US,1682644928
7,tiksi,71.6872,128.8694,-4.8,80,98,1.55,RU,1682644929
8,wailua homesteads,22.0669,-159.378,27.24,65,75,7.2,US,1682644929
9,callao,-12.0667,-77.15,25.16,73,75,5.14,PE,1682644929
10,sola,-13.8833,167.55,27.43,70,5,1.88,VU,1682644930
11,puerto ayora,-0.7393,-90.3518,26.42,92,100,1.79,EC,1682644930
12,invercargill,-46.4,168.35,11.68,82,6,0.89,NZ,1682644931
13,vinh long,10.25,105.9667,28.99,73,22,4.68,VN,1682644931
14,puerto natales,-51.7236,-72.4875,3.49,94,93,2.0,CL,1682644815
15,northam,51.0333,-4.2167,11.88,97,100,6.33,GB,1682644932
16,blackmans bay,-43.0167,147.3167,21.07,46,100,4.7,AU,1682644932
17,ta`u,-14.2336,-169.5144,28.07,72,100,5.42,AS,1682644932
18,kiffa,16.6166,-11.4045,30.75,11,0,2.65,MR,1682644933
19,avarua,-21.2078,-159.775,26.03,65,20,3.6,CK,1682644933
20,khagrachhari,23.1,91.9667,26.57,55,28,0.51,BD,1682644933
21,waitangi,-43.9535,-176.5597,13.79,78,88,1.34,NZ,1682644934
22,strezhevoy,60.7333,77.5889,4.28,100,100,5.21,RU,1682644934
23,cerro largo,-28.1486,-54.7381,16.15,77,6,1.82,BR,1682644934
24,margaret river,-33.95,115.0667,14.14,64,72,3.73,AU,1682644935
25,constitucion,-35.3333,-72.4167,13.72,91,100,2.75,CL,1682644676
26,arraial do cabo,-22.9661,-42.0278,25.92,83,20,2.06,BR,1682644935
27,remire-montjoly,4.9167,-52.2667,24.02,100,100,0.0,GF,1682644936
28,bilibino,68.0546,166.4372,-4.35,63,4,0.73,RU,1682644936
29,ghadamis,30.1337,9.5007,24.26,18,0,3.6,LY,1682644936
30,gadzhiyevo,69.2551,33.3362,-5.1,84,18,5.13,RU,1682644937
31,adamstown,-25.066,-130.1015,23.93,65,93,2.45,PN,1682644937
32,fale old settlement,-9.3852,-171.2468,28.82,74,100,6.14,TK,1682644937
33,whitehorse,60.7161,-135.0538,8.43,38,40,9.77,CA,1682644938
34,edinburgh of the seven seas,-37.0676,-12.3116,16.43,77,100,2.53,SH,1682644938
35,myingyan,21.4667,95.3833,32.3,35,0,4.97,MM,1682644938
36,mahanoro,-19.9,48.8,22.55,82,64,3.35,MG,1682644939
37,papatowai,-46.5619,169.4708,11.46,72,57,1.8,NZ,1682644939
38,zouerate,22.7187,-12.4521,29.49,21,5,4.33,MR,1682644939
39,sao jose da coroa grande,-8.8978,-35.1478,25.77,85,65,1.82,BR,1682644940
40,lihue,21.9789,-159.3672,27.58,66,75,7.2,US,1682644750
41,tazacorte,28.629,-17.9293,18.97,61,0,2.06,ES,1682644940
42,vanimo,-2.6741,141.3028,29.97,67,100,1.4,PG,1682644940
43,college,64.8569,-147.8028,7.97,36,75,4.12,US,1682644831
44,dzerzhinskoye,56.8344,95.2283,3.5,99,100,1.7,RU,1682644941
45,hemsby,52.6971,1.6918,9.99,87,100,9.96,GB,1682644941
46,badger,64.8,-147.5333,7.93,36,75,4.12,US,1682644942
47,port elizabeth,-33.918,25.5701,17.95,91,0,2.57,ZA,1682644942
48,ugoofaaru,5.6667,73.0,28.72,71,82,1.1,MV,1682644942
49,ust-nera,64.5667,143.2,-1.27,78,9,0.86,RU,1682644943
50,richards bay,-28.783,32.0377,23.38,82,100,8.22,ZA,1682644943
51,liwonde,-15.0506,35.2035,16.43,96,83,0.58,MW,1682644944
52,atafu village,-8.5421,-172.5159,28.83,73,100,7.43,TK,1682644944
53,aasiaat,68.7098,-52.8699,-7.03,96,58,0.86,GL,1682644944
54,torghay,49.6339,63.4981,14.68,35,10,4.62,KZ,1682644817
55,isabela,6.7085,121.9711,30.03,63,73,1.63,PH,1682644945
56,namibe,-15.1961,12.1522,23.89,75,6,0.61,AO,1682644816
57,mahibadhoo,3.7833,72.9667,28.72,71,99,2.14,MV,1682644945
58,cabedelo,-6.9811,-34.8339,26.37,84,76,2.58,BR,1682644946
59,new norfolk,-42.7826,147.0587,21.72,44,100,4.02,AU,1682644946
60,weno,7.4515,151.8468,27.06,83,100,7.21,FM,1682644946
61,winnipeg,49.8844,-97.147,8.91,67,100,4.63,CA,1682644813
62,kourou,5.1552,-52.6478,24.03,90,100,2.42,GF,1682644947
63,ribeira grande,38.5167,-28.7,15.99,82,10,7.15,PT,1682644947
64,libenge,3.65,18.6333,20.69,96,33,1.18,CD,1682644948
65,maun,-19.9833,23.4167,19.98,52,0,3.09,BW,1682644948
66,thompson,55.7435,-97.8558,3.09,56,20,5.14,CA,1682644932
67,ataq,14.5377,46.8319,24.02,60,33,2.75,YE,1682644948
68,georgetown,5.4112,100.3354,27.96,89,20,2.06,MY,1682644949
69,port alfred,-33.5906,26.891,16.21,89,72,2.17,ZA,1682644949
70,lom sak,16.7798,101.2422,24.94,94,20,0.51,TH,1682644949
71,chonchi,-42.6128,-73.8092,12.84,95,100,3.79,CL,1682644950
